Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2048,Emerging Markets - Equities,0.9608252395387119,96.08,128960.78531244122
2048,Developed Markets - Equities,0.007193985614781703,0.72,965.5679266440364
2048,Emerging Markets State - Obligations,0.01252443690168422,1.25,1681.0145612044364
2048,High Yield Bonds - Obligations,0.00891158707679082,0.89,1196.1022884399815
2048,Investment Grade Bonds - Obligations,0.002255122797918594,0.23,302.679816295411
2048,Government ZC Bonds - Obligations,0.00828962807011278,0.83,1112.6237133227692
2049,Emerging Markets - Equities,0.9389266275974054,93.89,128654.87037506817
2049,Developed Markets - Equities,0.018246929484117106,1.82,2500.255375150235
2049,Emerging Markets State - Obligations,0.019143282478127157,1.91,2623.076663699434
2049,High Yield Bonds - Obligations,0.0025245911578252707,0.25,345.927933678032
2049,Investment Grade Bonds - Obligations,7.602883292051764e-05,0.01,10.417725258454416
2049,Government ZC Bonds - Obligations,0.021082540449604496,2.11,2888.800284279522
2050,Emerging Markets - Equities,0.9760072611522911,97.6,134862.6426243165
2050,Developed Markets - Equities,0.0066622686950990025,0.67,920.5783582322267
2050,Emerging Markets State - Obligations,0.0014290378694332905,0.14,197.46146484039826
2050,High Yield Bonds - Obligations,0.0061511522454076924,0.62,849.9533559010473
2050,Investment Grade Bonds - Obligations,0.00012758734375490106,0.01,17.62975238922755
2050,Government ZC Bonds - Obligations,0.009622692694013906,0.96,1329.6435564877688
2051,Emerging Markets - Equities,0.9805325678370916,98.05,137461.97645637652
2051,Developed Markets - Equities,0.001032798674515455,0.1,144.78922142646024
2051,Emerging Markets State - Obligations,0.0038583399612891135,0.39,540.9050696697906
2051,High Yield Bonds - Obligations,0.0018994097469163577,0.19,266.2804138036624
2051,Investment Grade Bonds - Obligations,0.003554867427725658,0.36,498.360909860927
2051,Government ZC Bonds - Obligations,0.009122016352461685,0.91,1278.8258526106408
2052,Emerging Markets - Equities,0.960764732545607,96.08,136068.79156950867
2052,Developed Markets - Equities,0.0031546736250918635,0.32,446.78224899567147
2052,Emerging Markets State - Obligations,0.012757539826742189,1.28,1806.7930356116462
2052,High Yield Bonds - Obligations,0.005709018016581124,0.57,808.5425664059454
2052,Investment Grade Bonds - Obligations,0.007573282641239906,0.76,1072.569987532233
2052,Government ZC Bonds - Obligations,0.010040753344738014,1.0,1422.026774906779
2053,Emerging Markets - Equities,0.2155048525365856,21.55,30739.443972853
2053,Developed Markets - Equities,0.05731613612685124,5.73,8175.528924169598
2053,Emerging Markets State - Obligations,0.17062660921864384,17.06,24338.046371665638
2053,High Yield Bonds - Obligations,0.2043731688484521,20.44,29151.629299413988
2053,Investment Grade Bonds - Obligations,0.19122348320667684,19.12,27275.96840227777
2053,Government ZC Bonds - Obligations,0.16095575006279045,16.1,22958.602569395618
2054,Emerging Markets - Equities,0.04354336765933912,4.35,5519.316492105833
2054,Developed Markets - Equities,0.0744695811487586,7.45,9439.352293790758
2054,Emerging Markets State - Obligations,0.32144238733420333,32.14,40744.25946002879
2054,High Yield Bonds - Obligations,0.35991690256306746,35.99,45621.07624851855
2054,Investment Grade Bonds - Obligations,0.10563204415693342,10.56,13389.333778026461
2054,Government ZC Bonds - Obligations,0.09499571713769814,9.5,12041.131783362753
2055,Emerging Markets - Equities,0.19270348839628174,19.27,23914.933393493553
2055,Developed Markets - Equities,0.15622554759622623,15.62,19387.93945153043
2055,Emerging Markets State - Obligations,0.0544627915194736,5.45,6758.954092898861
2055,High Yield Bonds - Obligations,0.31073928251774247,31.07,38563.43912608266
