Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2054,Emerging Markets State - Obligations,0.0,0.0,0.0
2054,High Yield Bonds - Obligations,0.0,0.0,0.0
2054,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2054,Government ZC Bonds - Obligations,1.0,100.0,12535651.862253245
2055,Emerging Markets - Equities,0.0,0.0,0.0
2055,Developed Markets - Equities,0.0,0.0,0.0
2055,Emerging Markets State - Obligations,0.0,0.0,0.0
2055,High Yield Bonds - Obligations,0.0,0.0,0.0
2055,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2055,Government ZC Bonds - Obligations,1.0,100.0,12814981.189666929
2056,Emerging Markets - Equities,0.0,0.0,0.0
2056,Developed Markets - Equities,0.0,0.0,0.0
2056,Emerging Markets State - Obligations,0.0,0.0,0.0
2056,High Yield Bonds - Obligations,0.0,0.0,0.0
2056,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2056,Government ZC Bonds - Obligations,1.0,100.0,13098788.644936725
2057,Emerging Markets - Equities,0.0,0.0,0.0
2057,Developed Markets - Equities,0.0,0.0,0.0
2057,Emerging Markets State - Obligations,0.0,0.0,0.0
2057,High Yield Bonds - Obligations,0.0,0.0,0.0
2057,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2057,Government ZC Bonds - Obligations,1.0,100.0,13387138.553422349
2058,Emerging Markets - Equities,0.0,0.0,0.0
2058,Developed Markets - Equities,0.0,0.0,0.0
2058,Emerging Markets State - Obligations,0.0,0.0,0.0
2058,High Yield Bonds - Obligations,0.0,0.0,0.0
2058,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2058,Government ZC Bonds - Obligations,1.0,100.0,13680096.11044845
2059,Emerging Markets - Equities,0.0,0.0,0.0
2059,Developed Markets - Equities,0.0,0.0,0.0
2059,Emerging Markets State - Obligations,0.0,0.0,0.0
2059,High Yield Bonds - Obligations,0.0,0.0,0.0
2059,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2059,Government ZC Bonds - Obligations,1.0,100.0,13977727.392634118
2060,Emerging Markets - Equities,0.0,0.0,0.0
2060,Developed Markets - Equities,0.0,0.0,0.0
2060,Emerging Markets State - Obligations,0.0,0.0,0.0
2060,High Yield Bonds - Obligations,0.0,0.0,0.0
2060,Investment Grade Bonds - Obligations,0.0,0.0,0.0
