Year,Final Wealth,Path_ID,source_folder
2048,2088796.7172478477,4,P2_outputs_path_0_to_50
2049,2427020.370503868,4,P2_outputs_path_0_to_50
2050,2653941.3424450248,4,P2_outputs_path_0_to_50
2051,2209428.4469459667,4,P2_outputs_path_0_to_50
2052,2342637.689863387,4,P2_outputs_path_0_to_50
2053,2092830.2582227665,4,P2_outputs_path_0_to_50
2054,2418336.1481360206,4,P2_outputs_path_0_to_50
2055,2749653.2500484,4,P2_outputs_path_0_to_50
2056,2185521.835162437,4,P2_outputs_path_0_to_50
2057,2610201.667617608,4,P2_outputs_path_0_to_50
2058,2637797.5257925875,4,P2_outputs_path_0_to_50
2059,0.0,4,P2_outputs_path_0_to_50
2060,150182.96870406278,4,P2_outputs_path_0_to_50
2061,162299.9168752759,4,P2_outputs_path_0_to_50
2062,178168.0318149027,4,P2_outputs_path_0_to_50
2063,191745.9973449869,4,P2_outputs_path_0_to_50
2064,179589.59939003122,4,P2_outputs_path_0_to_50
2065,180203.20959048253,4,P2_outputs_path_0_to_50
2066,186454.240350546,4,P2_outputs_path_0_to_50
2067,189764.24243463544,4,P2_outputs_path_0_to_50
2068,216585.1140613362,4,P2_outputs_path_0_to_50
2069,222858.9879114888,4,P2_outputs_path_0_to_50
2070,215956.0709636421,4,P2_outputs_path_0_to_50
2071,205560.10205914857,4,P2_outputs_path_0_to_50
2072,189155.94755972573,4,P2_outputs_path_0_to_50
2073,183712.9641463926,4,P2_outputs_path_0_to_50
2074,174635.1861271277,4,P2_outputs_path_0_to_50
2075,,4,P2_outputs_path_0_to_50
2025,186245.8252786334,5,P2_outputs_path_0_to_50
2026,259262.55040216263,5,P2_outputs_path_0_to_50
2027,356005.7385921304,5,P2_outputs_path_0_to_50
2028,465617.8992972439,5,P2_outputs_path_0_to_50
2029,482261.4605267471,5,P2_outputs_path_0_to_50
2030,594875.7159031613,5,P2_outputs_path_0_to_50
2031,671169.9313702392,5,P2_outputs_path_0_to_50
2032,824874.8578933901,5,P2_outputs_path_0_to_50
2033,962472.259258592,5,P2_outputs_path_0_to_50
2034,338441.48159455275,5,P2_outputs_path_0_to_50
2035,552476.8604705406,5,P2_outputs_path_0_to_50
2036,689723.13158384,5,P2_outputs_path_0_to_50
2037,898225.6218330478,5,P2_outputs_path_0_to_50
2038,1124461.4365903295,5,P2_outputs_path_0_to_50
2039,1321724.7925404846,5,P2_outputs_path_0_to_50
2040,1541285.0995555578,5,P2_outputs_path_0_to_50
2041,1623659.0432405856,5,P2_outputs_path_0_to_50
2042,1902946.2132284136,5,P2_outputs_path_0_to_50
2043,1922639.2190682653,5,P2_outputs_path_0_to_50
2044,2161004.1853933693,5,P2_outputs_path_0_to_50
2045,2391358.447967497,5,P2_outputs_path_0_to_50
2046,2575802.064328579,5,P2_outputs_path_0_to_50
2047,2428461.454533427,5,P2_outputs_path_0_to_50
2048,2438188.875884017,5,P2_outputs_path_0_to_50
2049,2895708.3984465376,5,P2_outputs_path_0_to_50
2050,3287120.2487214766,5,P2_outputs_path_0_to_50
2051,3358205.7202886096,5,P2_outputs_path_0_to_50
2052,3586064.7135806344,5,P2_outputs_path_0_to_50
2053,3788026.059155894,5,P2_outputs_path_0_to_50
2054,4540958.449126681,5,P2_outputs_path_0_to_50
2055,4606432.4042481845,5,P2_outputs_path_0_to_50
2056,4474335.897011749,5,P2_outputs_path_0_to_50
2057,4676091.250012159,5,P2_outputs_path_0_to_50
2058,4915917.691637475,5,P2_outputs_path_0_to_50
2059,754074.9454388218,5,P2_outputs_path_0_to_50
2060,958164.861758061,5,P2_outputs_path_0_to_50
2061,962145.936183422,5,P2_outputs_path_0_to_50
2062,970008.1202184536,5,P2_outputs_path_0_to_50
2063,983635.5119643856,5,P2_outputs_path_0_to_50
2064,1094419.1063877898,5,P2_outputs_path_0_to_50
2065,1161950.4231846104,5,P2_outputs_path_0_to_50
2066,1177354.2736064906,5,P2_outputs_path_0_to_50
2067,1205762.254573665,5,P2_outputs_path_0_to_50
2068,1219619.6740197518,5,P2_outputs_path_0_to_50
2069,1180348.650321342,5,P2_outputs_path_0_to_50
2070,1239246.026683504,5,P2_outputs_path_0_to_50
2071,1395571.6170737024,5,P2_outputs_path_0_to_50
2072,1327054.9146612608,5,P2_outputs_path_0_to_50
2073,1214043.6831515774,5,P2_outputs_path_0_to_50
2074,1147088.8154755414,5,P2_outputs_path_0_to_50
2075,,5,P2_outputs_path_0_to_50
2025,199846.9031134008,6,P2_outputs_path_0_to_50
2026,282525.1637918774,6,P2_outputs_path_0_to_50
2027,413448.6470538857,6,P2_outputs_path_0_to_50
2028,480425.9038804146,6,P2_outputs_path_0_to_50
2029,430065.2288419103,6,P2_outputs_path_0_to_50
2030,486752.39336295245,6,P2_outputs_path_0_to_50
2031,646804.5129140603,6,P2_outputs_path_0_to_50
2032,769944.7192286389,6,P2_outputs_path_0_to_50
2033,880889.5538933806,6,P2_outputs_path_0_to_50
2034,276014.51820846123,6,P2_outputs_path_0_to_50
2035,377088.5042755994,6,P2_outputs_path_0_to_50
2036,650985.1620700628,6,P2_outputs_path_0_to_50
2037,699239.615852763,6,P2_outputs_path_0_to_50
2038,991073.6407830062,6,P2_outputs_path_0_to_50
2039,930178.9859871377,6,P2_outputs_path_0_to_50
2040,1138433.932582511,6,P2_outputs_path_0_to_50
2041,1397363.5862049337,6,P2_outputs_path_0_to_50
2042,1033940.8453066336,6,P2_outputs_path_0_to_50
2043,1133111.1772148677,6,P2_outputs_path_0_to_50
2044,1348587.5618816142,6,P2_outputs_path_0_to_50
2045,1861290.880466516,6,P2_outputs_path_0_to_50
2046,2057748.8558418085,6,P2_outputs_path_0_to_50
2047,2601453.7530383854,6,P2_outputs_path_0_to_50
2048,2403576.519768654,6,P2_outputs_path_0_to_50
2049,3053627.326915928,6,P2_outputs_path_0_to_50
2050,3852660.4272167888,6,P2_outputs_path_0_to_50
2051,4811781.58685624,6,P2_outputs_path_0_to_50
2052,4829572.711033453,6,P2_outputs_path_0_to_50
2053,5000840.302306101,6,P2_outputs_path_0_to_50
2054,4871672.735535215,6,P2_outputs_path_0_to_50
2055,4482690.83391078,6,P2_outputs_path_0_to_50
2056,4677790.328857786,6,P2_outputs_path_0_to_50
2057,4370905.565347929,6,P2_outputs_path_0_to_50
2058,4576577.265270127,6,P2_outputs_path_0_to_50
2059,219269.9216287434,6,P2_outputs_path_0_to_50
2060,357585.3201844042,6,P2_outputs_path_0_to_50
2061,327184.9291361328,6,P2_outputs_path_0_to_50
2062,348173.28960983065,6,P2_outputs_path_0_to_50
2063,361295.3226371385,6,P2_outputs_path_0_to_50
2064,344726.2686712956,6,P2_outputs_path_0_to_50
2065,385990.7090934666,6,P2_outputs_path_0_to_50
2066,387270.2208044202,6,P2_outputs_path_0_to_50
2067,406389.7604051666,6,P2_outputs_path_0_to_50
2068,407578.4606121795,6,P2_outputs_path_0_to_50
2069,442604.541217113,6,P2_outputs_path_0_to_50
2070,464930.03447521455,6,P2_outputs_path_0_to_50
2071,488215.9259793449,6,P2_outputs_path_0_to_50
2072,486349.7377700004,6,P2_outputs_path_0_to_50
2073,464764.7793335512,6,P2_outputs_path_0_to_50
2074,486222.96332774207,6,P2_outputs_path_0_to_50
2075,,6,P2_outputs_path_0_to_50
2025,196058.5163824152,7,P2_outputs_path_0_to_50
2026,425076.7889878549,7,P2_outputs_path_0_to_50
2027,648440.5962358983,7,P2_outputs_path_0_to_50
2028,728989.817937293,7,P2_outputs_path_0_to_50
2029,748126.4802274351,7,P2_outputs_path_0_to_50
2030,806537.6233922679,7,P2_outputs_path_0_to_50
2031,892518.0508385187,7,P2_outputs_path_0_to_50
2032,996064.4116310632,7,P2_outputs_path_0_to_50
2033,1191460.8873710916,7,P2_outputs_path_0_to_50
2034,619397.0256494167,7,P2_outputs_path_0_to_50
2035,899727.4629859466,7,P2_outputs_path_0_to_50
2036,1140656.8084589024,7,P2_outputs_path_0_to_50
2037,1464236.6539843648,7,P2_outputs_path_0_to_50
2038,1117121.095117253,7,P2_outputs_path_0_to_50
2039,1390511.498284873,7,P2_outputs_path_0_to_50
2040,1489686.4569885875,7,P2_outputs_path_0_to_50
2041,1805647.4860948916,7,P2_outputs_path_0_to_50
2042,1391008.244300878,7,P2_outputs_path_0_to_50
2043,1682275.1347323458,7,P2_outputs_path_0_to_50
2044,1896479.4870065933,7,P2_outputs_path_0_to_50
2045,2020567.659961841,7,P2_outputs_path_0_to_50
2046,1834520.4718251333,7,P2_outputs_path_0_to_50
2047,2542396.7445494374,7,P2_outputs_path_0_to_50
2048,2458030.709008127,7,P2_outputs_path_0_to_50
2049,2172673.9397898978,7,P2_outputs_path_0_to_50
2050,2245681.159566178,7,P2_outputs_path_0_to_50
2051,2904455.059437605,7,P2_outputs_path_0_to_50
2052,3565819.6829884807,7,P2_outputs_path_0_to_50
2053,3944107.8628383246,7,P2_outputs_path_0_to_50
2054,4629559.49062198,7,P2_outputs_path_0_to_50
2055,4727575.842495438,7,P2_outputs_path_0_to_50
2056,4849595.168675169,7,P2_outputs_path_0_to_50
2057,5097809.596709525,7,P2_outputs_path_0_to_50
2058,4809220.034508247,7,P2_outputs_path_0_to_50
2059,475956.9701406937,7,P2_outputs_path_0_to_50
2060,690066.7097984906,7,P2_outputs_path_0_to_50
2061,694827.2161519451,7,P2_outputs_path_0_to_50
2062,623701.3209199435,7,P2_outputs_path_0_to_50
2063,640286.2518254232,7,P2_outputs_path_0_to_50
2064,640129.9013036534,7,P2_outputs_path_0_to_50
2065,706420.795176197,7,P2_outputs_path_0_to_50
2066,711260.5114273883,7,P2_outputs_path_0_to_50
2067,701575.0319478447,7,P2_outputs_path_0_to_50
2068,754698.8130841418,7,P2_outputs_path_0_to_50
2069,729893.0912640595,7,P2_outputs_path_0_to_50
2070,722509.4403599014,7,P2_outputs_path_0_to_50
2071,708792.1883420761,7,P2_outputs_path_0_to_50
2072,784148.8391875196,7,P2_outputs_path_0_to_50
2073,784667.0973629551,7,P2_outputs_path_0_to_50
2074,853173.060786567,7,P2_outputs_path_0_to_50
2075,,7,P2_outputs_path_0_to_50
2025,185527.99975235105,8,P2_outputs_path_0_to_50
2026,355629.3305503081,8,P2_outputs_path_0_to_50
2027,362023.1773999533,8,P2_outputs_path_0_to_50
2028,503223.6546607793,8,P2_outputs_path_0_to_50
2029,662999.5223469851,8,P2_outputs_path_0_to_50
2030,772061.3507245552,8,P2_outputs_path_0_to_50
2031,828633.9708761021,8,P2_outputs_path_0_to_50
2032,939891.4640577112,8,P2_outputs_path_0_to_50
2033,1117356.3684679407,8,P2_outputs_path_0_to_50
