Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID,source_folder
2051,Investment Grade Bonds - Obligations,0.0005931088566863,0.06,1335.651270020836,0,P1_outputs_path_0_to_50
2051,Government ZC Bonds - Obligations,0.8714392420629096,87.14,1962437.278225984,0,P1_outputs_path_0_to_50
2052,Emerging Markets - Equities,0.0336631751953996,3.37,80470.53200689511,0,P1_outputs_path_0_to_50
2052,Developed Markets - Equities,0.0160376232949802,1.6,38337.324722998776,0,P1_outputs_path_0_to_50
2052,Emerging Markets State - Obligations,0.0347789832706149,3.48,83137.8285084573,0,P1_outputs_path_0_to_50
2052,High Yield Bonds - Obligations,0.0469991585081282,4.7,112349.6897447248,0,P1_outputs_path_0_to_50
2052,Investment Grade Bonds - Obligations,0.0175547704417205,1.76,41964.00691569983,0,P1_outputs_path_0_to_50
2052,Government ZC Bonds - Obligations,0.8509662892891563,85.1,2034202.3478637815,0,P1_outputs_path_0_to_50
2053,Emerging Markets - Equities,0.0087257470554956,0.87,20186.503758129704,0,P1_outputs_path_0_to_50
2053,Developed Markets - Equities,0.0136135242200456,1.36,31494.08939791116,0,P1_outputs_path_0_to_50
2053,Emerging Markets State - Obligations,0.023245598895791,2.32,53777.32891928384,0,P1_outputs_path_0_to_50
2053,High Yield Bonds - Obligations,0.0054174642915716,0.54,12532.985724410562,0,P1_outputs_path_0_to_50
2053,Investment Grade Bonds - Obligations,0.0285177055126064,2.85,65974.03819319914,0,P1_outputs_path_0_to_50
2053,Government ZC Bonds - Obligations,0.9204799600244896,92.05,2129476.370807077,0,P1_outputs_path_0_to_50
2054,Emerging Markets - Equities,0.0449487358306339,4.49,109574.1069615424,0,P1_outputs_path_0_to_50
2054,Developed Markets - Equities,0.0011790440044294,0.12,2874.22307805306,0,P1_outputs_path_0_to_50
2054,Emerging Markets State - Obligations,0.0157823171085906,1.58,38473.45806284269,0,P1_outputs_path_0_to_50
2054,High Yield Bonds - Obligations,0.0417993586738591,4.18,101896.68994276407,0,P1_outputs_path_0_to_50
2054,Investment Grade Bonds - Obligations,0.0022011557717567,0.22,5365.883456262038,0,P1_outputs_path_0_to_50
2054,Government ZC Bonds - Obligations,0.8940893886107301,89.41,2179572.895441551,0,P1_outputs_path_0_to_50
2055,Emerging Markets - Equities,0.0063727540271807,0.64,15873.240109367218,0,P1_outputs_path_0_to_50
2055,Developed Markets - Equities,0.0180260839364704,1.8,44899.32568161346,0,P1_outputs_path_0_to_50
2055,Emerging Markets State - Obligations,0.0401217195740922,4.01,99935.08076476085,0,P1_outputs_path_0_to_50
2055,High Yield Bonds - Obligations,0.0417042665670611,4.17,103876.88493554963,0,P1_outputs_path_0_to_50
2055,Investment Grade Bonds - Obligations,0.0010407377413931,0.1,2592.26701510114,0,P1_outputs_path_0_to_50
2055,Government ZC Bonds - Obligations,0.8927344381538022,89.27,2223620.7501931847,0,P1_outputs_path_0_to_50
2056,Emerging Markets - Equities,0.0035627986221025,0.36,9343.414969138335,0,P1_outputs_path_0_to_50
2056,Developed Markets - Equities,0.0273860316424234,2.74,71819.6802945066,0,P1_outputs_path_0_to_50
2056,Emerging Markets State - Obligations,0.0281250244529789,2.81,73757.68387556633,0,P1_outputs_path_0_to_50
2056,High Yield Bonds - Obligations,0.0242533873977905,2.43,63604.34223225735,0,P1_outputs_path_0_to_50
2056,Investment Grade Bonds - Obligations,0.0231226056778975,2.31,60638.87492155073,0,P1_outputs_path_0_to_50
2056,Government ZC Bonds - Obligations,0.893550152206807,89.36,2343329.1502953074,0,P1_outputs_path_0_to_50
2057,Emerging Markets - Equities,0.0053517050215815,0.54,14018.069953109194,0,P1_outputs_path_0_to_50
2057,Developed Markets - Equities,0.0094951064880436,0.95,24871.151609600944,0,P1_outputs_path_0_to_50
2057,Emerging Markets State - Obligations,0.0025548498007957,0.26,6692.084687555831,0,P1_outputs_path_0_to_50
2057,High Yield Bonds - Obligations,0.0066272766637185,0.66,17359.257936671613,0,P1_outputs_path_0_to_50
2057,Investment Grade Bonds - Obligations,0.0024159151669472,0.24,6328.164141049048,0,P1_outputs_path_0_to_50
2057,Government ZC Bonds - Obligations,0.9735551468589132,97.36,2550096.482680326,0,P1_outputs_path_0_to_50
2058,Emerging Markets - Equities,0.0078300039045288,0.78,20797.169083148576,0,P1_outputs_path_0_to_50
2058,Developed Markets - Equities,0.0241799957544701,2.42,64224.16467055278,0,P1_outputs_path_0_to_50
2058,Emerging Markets State - Obligations,0.0204263723661809,2.04,54254.21558335509,0,P1_outputs_path_0_to_50
2058,High Yield Bonds - Obligations,0.0403585519833667,4.04,107195.81238824774,0,P1_outputs_path_0_to_50
2058,Investment Grade Bonds - Obligations,0.0190252901767746,1.9,50532.819841059645,0,P1_outputs_path_0_to_50
2058,Government ZC Bonds - Obligations,0.8881797858146787,88.82,2359082.4994529937,0,P1_outputs_path_0_to_50
2059,Emerging Markets - Equities,0.0852929010791048,8.53,222300.3828909723,0,P1_outputs_path_0_to_50
2059,Developed Markets - Equities,0.0731063723130175,7.31,190538.41939179983,0,P1_outputs_path_0_to_50
2059,Emerging Markets State - Obligations,0.0104458905973985,1.04,27225.30773440628,0,P1_outputs_path_0_to_50
2059,High Yield Bonds - Obligations,0.0250618300877424,2.51,65319.08698106751,0,P1_outputs_path_0_to_50
2059,Investment Grade Bonds - Obligations,0.0628264934811205,6.28,163745.79103127454,0,P1_outputs_path_0_to_50
2059,Government ZC Bonds - Obligations,0.743266512441616,74.33,1937188.5375615004,0,P1_outputs_path_0_to_50
2060,Emerging Markets - Equities,0.0201975802465053,2.02,59391.61727323925,0,P1_outputs_path_0_to_50
2060,Developed Markets - Equities,0.0213046549272114,2.13,62647.005043799785,0,P1_outputs_path_0_to_50
2060,Emerging Markets State - Obligations,0.0178651556801154,1.79,52533.04978767619,0,P1_outputs_path_0_to_50
2060,High Yield Bonds - Obligations,0.025643948591924,2.56,75406.83396515765,0,P1_outputs_path_0_to_50
2060,Investment Grade Bonds - Obligations,0.0101329816899105,1.01,29796.35000920648,0,P1_outputs_path_0_to_50
2060,Government ZC Bonds - Obligations,0.9048556788643332,90.49,2660756.4624443543,0,P1_outputs_path_0_to_50
2061,Emerging Markets - Equities,0.0358312952121802,3.58,104230.68051420724,0,P1_outputs_path_0_to_50
2061,Developed Markets - Equities,0.0686163305060035,6.86,199600.00833565544,0,P1_outputs_path_0_to_50
2061,Emerging Markets State - Obligations,0.037234953755236,3.72,108313.82303768906,0,P1_outputs_path_0_to_50
2061,High Yield Bonds - Obligations,0.0033452788953456,0.33,9731.17755601435,0,P1_outputs_path_0_to_50
2061,Investment Grade Bonds - Obligations,0.0871239723435716,8.71,253437.4175618557,0,P1_outputs_path_0_to_50
2061,Government ZC Bonds - Obligations,0.7678481692876631,76.78,2233615.52359501,0,P1_outputs_path_0_to_50
2062,Emerging Markets - Equities,0.0648439273516814,6.48,197825.0671813303,0,P1_outputs_path_0_to_50
2062,Developed Markets - Equities,0.0105942787951502,1.06,32320.897268015287,0,P1_outputs_path_0_to_50
2062,Emerging Markets State - Obligations,0.1057210442961486,10.57,322532.4798255557,0,P1_outputs_path_0_to_50
2062,High Yield Bonds - Obligations,0.1050118501637675,10.5,320368.878967113,0,P1_outputs_path_0_to_50
2062,Investment Grade Bonds - Obligations,0.0012634219792775,0.13,3854.4324524549097,0,P1_outputs_path_0_to_50
2062,Government ZC Bonds - Obligations,0.7125654774139744,71.26,2173886.1169836414,0,P1_outputs_path_0_to_50
2063,Emerging Markets - Equities,0.062046903687312,6.2,187589.33017544655,0,P1_outputs_path_0_to_50
2063,Developed Markets - Equities,0.0265998769966691,2.66,80420.66262808214,0,P1_outputs_path_0_to_50
2063,Emerging Markets State - Obligations,0.0700965166956695,7.01,211926.1048196604,0,P1_outputs_path_0_to_50
