Year,Path_ID,Asset,Weight,Allocation (%),Invested Amt (DKK)
2073,0,Emerging Markets State - Obligations,0.257653252,25.77,47203.08146
2073,0,High Yield Bonds - Obligations,0.076707547,7.67,14053.12193
2073,0,Investment Grade Bonds - Obligations,0.074498472,7.45,13648.41076
2073,0,Government ZC Bonds - Obligations,0.206018822,20.6,37743.4523
2074,0,Emerging Markets - Equities,0.085223074,8.52,14680.8498
2074,0,Developed Markets - Equities,0.170105048,17.01,29302.9403
2074,0,Emerging Markets State - Obligations,0.090498933,9.05,15589.68926
2074,0,High Yield Bonds - Obligations,0.2911594,29.12,50156.22181
2074,0,Investment Grade Bonds - Obligations,0.254599859,25.46,43858.33662
2074,0,Government ZC Bonds - Obligations,0.108413686,10.84,18675.75245
2075,0,Emerging Markets - Equities,0.076038633,7.6,13649.27744
2075,0,Developed Markets - Equities,0.493468748,49.35,88579.86515
2075,0,Emerging Markets State - Obligations,0.013368205,1.34,2399.652999
2075,0,High Yield Bonds - Obligations,0.008133734,0.81,1460.041876
2075,0,Investment Grade Bonds - Obligations,0.386504748,38.65,69379.3449
2075,0,Government ZC Bonds - Obligations,0.022485933,2.25,4036.326369
2025,1,Emerging Markets - Equities,0.595917278,59.59,119183.4556
2025,1,Developed Markets - Equities,0.010939303,1.09,2187.86056
2025,1,Emerging Markets State - Obligations,0.007171138,0.72,1434.227574
2025,1,High Yield Bonds - Obligations,0.001191665,0.12,238.3330645
2025,1,Investment Grade Bonds - Obligations,0.003747213,0.37,749.4426962
2025,1,Government ZC Bonds - Obligations,0.381033403,38.1,76206.68052
2026,1,Emerging Markets - Equities,0.709115119,70.91,222425.3276
2026,1,Developed Markets - Equities,0.000136939,0.01,42.95320066
2026,1,Emerging Markets State - Obligations,0.005337467,0.53,1674.182017
2026,1,High Yield Bonds - Obligations,0.004488361,0.45,1407.84638
2026,1,Investment Grade Bonds - Obligations,0.000448871,0.04,140.7954321
2026,1,Government ZC Bonds - Obligations,0.280473244,28.05,87974.9303
2027,1,Emerging Markets - Equities,0.775324021,77.53,338542.7223
2027,1,Developed Markets - Equities,0.004600887,0.46,2008.962361
2027,1,Emerging Markets State - Obligations,0.002541662,0.25,1109.808672
2027,1,High Yield Bonds - Obligations,0.00141024,0.14,615.7765809
2027,1,Investment Grade Bonds - Obligations,0.004361664,0.44,1904.506662
2027,1,Government ZC Bonds - Obligations,0.211761526,21.18,92464.98439
2028,1,Emerging Markets - Equities,0.851703033,85.17,465570.6066
2028,1,Developed Markets - Equities,0.002210167,0.22,1208.154355
2028,1,Emerging Markets State - Obligations,0.000325609,0.03,177.98906
2028,1,High Yield Bonds - Obligations,0.003344304,0.33,1828.113496
2028,1,Investment Grade Bonds - Obligations,0.001925916,0.19,1052.772996
2028,1,Government ZC Bonds - Obligations,0.140490971,14.05,76797.2684
2029,1,Emerging Markets - Equities,0.862319974,86.23,538903.0423
2029,1,Developed Markets - Equities,0.001802754,0.18,1126.623138
2029,1,Emerging Markets State - Obligations,0.001842129,0.18,1151.23021
2029,1,High Yield Bonds - Obligations,0.001650018,0.17,1031.171544
2029,1,Investment Grade Bonds - Obligations,0.002156907,0.22,1347.949557
2029,1,Government ZC Bonds - Obligations,0.130228218,13.02,81385.54702
2030,1,Emerging Markets - Equities,0.982592056,98.26,605316.2736
2030,1,Developed Markets - Equities,0.00175485,0.18,1081.058033
2030,1,Emerging Markets State - Obligations,0.003736042,0.37,2301.552406
2030,1,High Yield Bonds - Obligations,0.005089195,0.51,3135.148939
2030,1,Investment Grade Bonds - Obligations,0.001327461,0.13,817.7694382
2030,1,Government ZC Bonds - Obligations,0.005500396,0.55,3388.465509
