Year,Final Wealth,Path_ID
2037,582591.9463472724,8
2038,545609.3729192636,8
2039,535094.1307893342,8
2040,500065.1938111308,8
2041,540945.6044007806,8
2042,682896.6003216294,8
2043,913730.5221880863,8
2044,1065710.2068942203,8
2045,965962.5863088337,8
2046,1043331.4686093164,8
2047,1018549.049683321,8
2048,1364896.8342297776,8
2049,1448358.4897063586,8
2050,1189882.7019610526,8
2051,1421990.0814763026,8
2052,1130897.0926315992,8
2053,1001610.5738692548,8
2054,1112594.4438957435,8
2055,1182459.2009426001,8
2056,1312758.7174983476,8
2057,1519090.1789823314,8
2058,1554876.8962417955,8
2059,1848833.119673433,8
2060,1759075.1555890345,8
2061,2155289.774672081,8
2062,2364852.5757203186,8
2063,2276317.6103219762,8
2064,2271037.8995666094,8
2065,2469393.668316848,8
2066,2341871.806657802,8
2067,2806583.2453101096,8
2068,2974702.337503591,8
2069,2647560.0961856134,8
2070,3039839.6798737263,8
2071,2950587.351679616,8
2072,3005808.3018938005,8
2073,2870684.1603887123,8
2074,0.0,8
2075,0.0,8
2025,0.0,9
2026,26307.005755157978,9
2027,57889.52419359456,9
2028,104302.73722373639,9
2029,151275.63567763384,9
2030,190530.8552745197,9
2031,212587.1256660816,9
2032,266418.11405443214,9
2033,348436.49424554873,9
2034,406729.66358243005,9
2035,463980.6570461633,9
2036,509031.7598957177,9
2037,539291.8590498754,9
2038,763911.4041529221,9
2039,710340.8533276481,9
2040,747715.8779381649,9
2041,694094.6091734979,9
2042,832790.461434143,9
2043,815632.6919301505,9
2044,1025751.3646008885,9
2045,1168432.7326129174,9
2046,1135382.2375843057,9
2047,1258388.280158838,9
2048,1226018.9510466703,9
2049,1515507.2284075196,9
2050,1648505.510314202,9
2051,2134913.7495873407,9
2052,2119291.627265331,9
2053,1950531.7085876483,9
2054,2733976.1775501696,9
2055,3298286.0137790395,9
2056,3712385.532920729,9
2057,4269086.864110939,9
2058,4259031.109452071,9
2059,4489590.576595894,9
2060,5196108.386519182,9
2061,5124466.893065131,9
2062,5313108.856225455,9
2063,5365757.038798909,9
2064,5288809.813729806,9
2065,4662268.850378799,9
2066,5350982.039100459,9
2067,5325663.7984766355,9
2068,5498790.258375647,9
2069,5043976.840862119,9
2070,4948884.724813016,9
2071,4797769.130960658,9
2072,5284275.311990522,9
2073,5591309.865704352,9
2074,498165.76851166505,9
2075,,9
