Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal B Allocation (%),Goal B Amount Taken (DKK),Goal B Utility Net Δ,Goal B Utility Loss,Goal B Value Now,Goal B Utility φ_before,Goal B Utility φ_after,Goal C Allocation (%),Goal C Amount Taken (DKK),Goal C Utility Net Δ,Goal C Utility Loss,Goal C Value Now,Goal C Utility φ_before,Goal C Utility φ_after,Goal D Allocation (%),Goal D Amount Taken (DKK),Goal D Utility Net Δ,Goal D Utility Loss,Goal D Value Now,Goal D Utility φ_before,Goal D Utility φ_after,Goal A Allocation (%),Goal A Amount Taken (DKK),Goal A Utility Net Δ,Goal A Utility Loss,Goal A Value Now,Goal A Utility φ_before,Goal A Utility φ_after
2029,ASK,Emerging Markets - Equities,29933.16,0.050338842,0.084,0.02,0.98,29334.4968,4986.864456,24347.63234,54280.79234,267642.9473,42.57425743,250000,0.768307161,0.031692839,0.8,"0.5903, 0.0, 1","0.5586, 0.0, 1",,,,,,,,,,,,,,,,,,,,,
2029,NORMAL,Emerging Markets - Equities,306661.21,0.515714681,0.084,0.02,0.98,300527.9858,120722.1746,179805.8112,486467.0212,267642.9473,42.57425743,250000,0.768307161,0.031692839,0.8,"0.5903, 0.0, 1","0.5586, 0.0, 1",,,,,,,,,,,,,,,,,,,,,
2029,ASK,Developed Markets - Equities,121.73,0.000204714,0.068,0.02,0.98,119.2954,20.280218,99.015182,220.745182,267642.9473,42.57425743,250000,0.768307161,0.031692839,0.8,"0.5903, 0.0, 1","0.5586, 0.0, 1",,,,,,,,,,,,,,,,,,,,,
2029,NORMAL,Developed Markets - Equities,1247.11,0.002097275,0.068,0.02,0.98,1222.1678,490.9451417,731.2226583,1978.332658,267642.9473,42.57425743,250000,0.768307161,0.031692839,0.8,"0.5903, 0.0, 1","0.5586, 0.0, 1",,,,,,,,,,,,,,,,,,,,,
2029,NORMAL,Emerging Markets State - Obligations,769.4699902,0.001294024,0.0483,0.02,0.98,754.0805904,302.9143807,451.1662097,1220.6362,267642.9473,42.57425743,250000,0.768307161,0.031692839,0.8,"0.5903, 0.0, 1","0.5586, 0.0, 1",,,,,,,,,,,,,,,,,,,,,
2029,NORMAL,High Yield Bonds - Obligations,1345.960726,0.002263513,0.0493,0.02,0.98,1319.041511,529.8593381,789.1821731,2135.142899,267642.9473,42.57425743,250000,0.768307161,0.031692839,0.8,"0.5903, 0.0, 1","0.5586, 0.0, 1",,,,,,,,,,,,,,,,,,,,,
2029,NORMAL,Investment Grade Bonds - Obligations,327.2361771,0.000550316,0.0363,0.02,0.98,320.6914536,128.8218452,191.8696084,519.1057856,267642.9473,42.57425743,250000,0.768307161,0.031692839,0.8,"0.5903, 0.0, 1","0.5586, 0.0, 1",,,,,,,,,,,,,,,,,,,,,
2029,NORMAL,Government ZC Bonds - Obligations,254227.5952,0.427536639,0.0283,0.02,0.98,249143.0433,100080.8291,149062.2142,403289.8094,267642.9473,42.57425743,250000,0.768307161,0.031692839,0.8,"0.5903, 0.0, 1","0.5586, 0.0, 1",,,,,,,,,,,,,,,,,,,,,
2030,ASK,Emerging Markets - Equities,33676.95,0.044293218,0.084,0.02,0.98,33003.411,5610.57987,27392.83113,61069.78113,301499.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,NORMAL,Emerging Markets - Equities,386795.92,0.508728848,0.084,0.02,0.98,379060.0016,153814.2637,225245.7379,612041.6579,301499.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,ASK,Developed Markets - Equities,179.88,0.000236585,0.068,0.02,0.98,176.2824,29.968008,146.314392,326.194392,301499.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,NORMAL,Developed Markets - Equities,2066.05,0.002717348,0.068,0.02,0.98,2024.729,821.5907746,1203.138225,3269.188225,301499.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,NORMAL,Emerging Markets State - Obligations,4866.570378,0.0064007,0.0483,0.02,0.98,4769.238971,1935.252935,2833.986036,7700.556414,301499.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,NORMAL,High Yield Bonds - Obligations,14062.78896,0.01849592,0.0493,0.02,0.98,13781.53318,5592.244946,8189.288231,22252.07719,301499.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,NORMAL,Investment Grade Bonds - Obligations,2239.590655,0.002945596,0.0363,0.02,0.98,2194.798842,890.6013992,1304.197442,3543.788097,301499.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,NORMAL,Government ZC Bonds - Obligations,316430.6787,0.41618178,0.0283,0.02,0.98,310102.0651,125832.6403,184269.4249,500700.1035,301499.7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,ASK,Emerging Markets - Equities,37802.47,0.029725647,0.084,0.02,0.98,37046.4206,6297.891502,30748.5291,68550.9991,339639.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,NORMAL,Emerging Markets - Equities,889645.08,0.699564757,0.084,0.02,0.98,871852.1784,358875.826,512976.3524,1402621.432,339639.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,ASK,Developed Markets - Equities,337.26,0.000265202,0.068,0.02,0.98,330.5148,56.187516,274.327284,611.587284,339639.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,NORMAL,Developed Markets - Equities,7937,0.006241192,0.068,0.02,0.98,7778.26,3201.723355,4576.536645,12513.53664,339639.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,NORMAL,Emerging Markets State - Obligations,975.6103892,0.000767163,0.0483,0.02,0.98,956.0981814,393.5535554,562.5446261,1538.155015,339639.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,NORMAL,High Yield Bonds - Obligations,7379.536211,0.005802835,0.0493,0.02,0.98,7231.945487,2976.846849,4255.098638,11634.63485,339639.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,NORMAL,Investment Grade Bonds - Obligations,1510.609161,0.001187855,0.0363,0.02,0.98,1480.396978,609.3678508,871.029127,2381.638288,339639.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,NORMAL,Government ZC Bonds - Obligations,326124.7056,0.256445357,0.0283,0.02,0.98,319602.2114,131556.1404,188046.071,514170.7766,339639.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,ASK,Emerging Markets - Equities,42781.12,0.02055282,0.084,0.02,0.98,41925.4976,7127.334592,34798.16301,77579.28301,382603.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NORMAL,Emerging Markets - Equities,1706996.91,0.820072049,0.084,0.02,0.98,1672856.972,694121.7007,978735.2711,2685732.181,382603.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
