Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID
2068,Developed Markets - Equities,0.010858472671025072,1.09,17332.849047551746,0
2068,Emerging Markets State - Obligations,0.0051852851554033555,0.52,8277.017181886293,0
2068,High Yield Bonds - Obligations,0.002972374351618522,0.3,4744.655856333681,0
2068,Investment Grade Bonds - Obligations,0.009851890464117241,0.99,15726.091083069263,0
2068,Government ZC Bonds - Obligations,0.9620139420301931,96.2,1535615.8222273646,0
2069,Emerging Markets - Equities,0.0009771547360223202,0.1,1526.5884519642327,0
2069,Developed Markets - Equities,0.018857263598616683,1.89,29460.30939017642,0
2069,Emerging Markets State - Obligations,0.05908124831003068,5.91,92301.40127536975,0
2069,High Yield Bonds - Obligations,0.009949948630243705,0.99,15544.597100760933,0
2069,Investment Grade Bonds - Obligations,0.009472998898154096,0.95,14799.468487723338,0
2069,Government ZC Bonds - Obligations,0.9016613858269324,90.17,1408646.7664155294,0
2070,Emerging Markets - Equities,0.01240966840978176,1.24,18677.796822980847,0
2070,Developed Markets - Equities,0.0206961669395575,2.07,31149.809031710178,0
2070,Emerging Markets State - Obligations,0.015056319569209966,1.51,22661.27252795144,0
2070,High Yield Bonds - Obligations,0.002090849628290592,0.21,3146.9386010212897,0
2070,Investment Grade Bonds - Obligations,0.019953478734459858,2.0,30031.98872099955,0
2070,Government ZC Bonds - Obligations,0.9297935167187003,92.98,1399432.5891018824,0
2071,Emerging Markets - Equities,0.0012509161850743145,0.13,1959.4751972731485,0
2071,Developed Markets - Equities,0.009043032348541539,0.9,14165.295650126398,0
2071,Emerging Markets State - Obligations,0.02483108410838042,2.48,38896.20584682443,0
2071,High Yield Bonds - Obligations,0.009784833815187553,0.98,15327.277238131317,0
2071,Investment Grade Bonds - Obligations,0.014218547357608708,1.42,22272.388207074615,0
2071,Government ZC Bonds - Obligations,0.9408715861852075,94.09,1473811.4023518162,0
2072,Emerging Markets - Equities,0.01953004097154733,1.95,31050.61504298524,0
2072,Developed Markets - Equities,0.007005173620018846,0.7,11137.454842074876,0
2072,Emerging Markets State - Obligations,0.017131672368332868,1.71,27237.473005132448,0
2072,High Yield Bonds - Obligations,0.024267059757656882,2.43,38581.95340490489,0
2072,Investment Grade Bonds - Obligations,0.007318956195755275,0.73,11636.334592536366,0
2072,Government ZC Bonds - Obligations,0.9247470970866888,92.47,1470246.0770865404,0
2073,Emerging Markets - Equities,0.03082706737891159,3.08,50172.237440915545,0
2073,Developed Markets - Equities,0.017377462657815902,1.74,28282.48862832199,0
2073,Emerging Markets State - Obligations,0.007134430359938238,0.71,11611.5597252487,0
2073,High Yield Bonds - Obligations,0.031640930106275306,3.16,51496.83032222014,0
2073,Investment Grade Bonds - Obligations,0.0054968831654843495,0.55,8946.38870359486,0
2073,Government ZC Bonds - Obligations,0.9075232263315747,90.75,1477028.9445632345,0
2074,Emerging Markets - Equities,0.0025800191152389575,0.26,4139.910286037739,0
2074,Developed Markets - Equities,0.00821898179009955,0.82,13188.215177405216,0
2074,Emerging Markets State - Obligations,0.006475258116138572,0.65,10390.228320951259,0
2074,High Yield Bonds - Obligations,0.012237032122942658,1.22,19635.596828379494,0
2074,Investment Grade Bonds - Obligations,0.007408113703894737,0.74,11887.092596230801,0
2074,Government ZC Bonds - Obligations,0.9630805951516855,96.31,1545363.4582015623,0
2075,Emerging Markets - Equities,0.12278409888989618,12.28,48787.08165425384,0
2075,Developed Markets - Equities,0.040164192537575444,4.02,15958.855899288694,0
2075,Emerging Markets State - Obligations,0.06482814551840502,6.48,25758.84057866827,0
2075,High Yield Bonds - Obligations,0.324199019459814,32.42,128817.36460678234,0
2075,Investment Grade Bonds - Obligations,0.12255258936789099,12.26,48695.093570650824,0
2075,Government ZC Bonds - Obligations,0.3254719542264184,32.55,129323.1530025139,0
2025,Emerging Markets - Equities,0.16649731195337134,16.65,0.0,1
2025,Developed Markets - Equities,0.04803342968239822,4.8,0.0,1
2025,Emerging Markets State - Obligations,0.24047614666259454,24.05,0.0,1
2025,High Yield Bonds - Obligations,0.17815494225133593,17.82,0.0,1
2025,Investment Grade Bonds - Obligations,0.2037258658870202,20.37,0.0,1
2025,Government ZC Bonds - Obligations,0.16311230356327983,16.31,0.0,1
2026,Emerging Markets - Equities,0.9847192795092282,98.47,27127.657315106408,1
2026,Developed Markets - Equities,0.0031044282010166315,0.31,85.52271307057538,1
2026,Emerging Markets State - Obligations,0.0016414505988541343,0.16,45.219698925346215,1
2026,High Yield Bonds - Obligations,0.0028377067986445704,0.28,78.17490648984105,1
2026,Investment Grade Bonds - Obligations,0.004987782395601901,0.5,137.40652225032508,1
2026,Government ZC Bonds - Obligations,0.002709352496654535,0.27,74.63892258888532,1
2027,Emerging Markets - Equities,0.9841638341093958,98.42,59074.516397973865,1
2027,Developed Markets - Equities,0.0054533010645331816,0.55,327.33485218076476,1
2027,Emerging Markets State - Obligations,0.0006976378617131525,0.07,41.87577095729777,1
2027,High Yield Bonds - Obligations,0.0016965035170253178,0.17,101.8327654017333,1
2027,Investment Grade Bonds - Obligations,0.0031026178299570395,0.31,186.23489455727136,1
2027,Government ZC Bonds - Obligations,0.004886105617375611,0.49,293.28889805942936,1
2028,Emerging Markets - Equities,0.2565175857193577,25.65,25519.717112200782,1
2028,Developed Markets - Equities,0.0018912582628877815,0.19,188.15230823126467,1
2028,Emerging Markets State - Obligations,0.005676409088044921,0.57,564.7189986362808,1
2028,High Yield Bonds - Obligations,7.609912248217297e-05,0.01,7.570740511944639,1
2028,Investment Grade Bonds - Obligations,0.005757690654035443,0.58,572.8053158558113,1
2028,Government ZC Bonds - Obligations,0.730080957153192,73.01,72632.28929628994,1
2029,Emerging Markets - Equities,0.3959719319953104,39.6,49052.91302908949,1
2029,Developed Markets - Equities,0.006051436552559285,0.61,749.6505861361388,1
2029,Emerging Markets State - Obligations,0.00025172263685511195,0.03,31.18334309931119,1
2029,High Yield Bonds - Obligations,0.002768193223060299,0.28,342.9231479470114,1
2029,Investment Grade Bonds - Obligations,0.0023491513900185165,0.23,291.01234081436786,1
2029,Government ZC Bonds - Obligations,0.5926075642021963,59.26,73412.09050023064,1
2030,Emerging Markets - Equities,0.5368718564436871,53.69,90226.99332434898,1
2030,Developed Markets - Equities,0.0033614011880929613,0.34,564.9190191632528,1
2030,Emerging Markets State - Obligations,0.0023755316756520067,0.24,399.23322123948054,1
2030,High Yield Bonds - Obligations,0.0042914188737111555,0.43,721.2183269117509,1
2030,Investment Grade Bonds - Obligations,0.0037152378397893506,0.37,624.3850105862336,1
2030,Government ZC Bonds - Obligations,0.4493845539790675,44.94,75523.82689702015,1
2031,Emerging Markets - Equities,0.6473110081726499,64.73,145971.0768938226,1
2031,Developed Markets - Equities,0.0026901622541808303,0.27,606.6417476360182,1
2031,Emerging Markets State - Obligations,0.00348189523907365,0.35,785.1805256855655,1
2031,High Yield Bonds - Obligations,0.002141418841116813,0.21,482.8980356768018,1
2031,Investment Grade Bonds - Obligations,0.003426526069697877,0.34,772.6945688912971,1
2031,Government ZC Bonds - Obligations,0.3409489894232809,34.09,76885.28469873112,1
