Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2037,Government ZC Bonds - Obligations,0.43887636703900695,43.89,2578271.99944164
2038,Emerging Markets - Equities,0.0015730190568652587,0.16,12109.66418392833
2038,Developed Markets - Equities,0.013073108521709004,1.31,100641.47242655326
2038,Emerging Markets State - Obligations,0.0006000174712487405,0.06,4619.149430898795
2038,High Yield Bonds - Obligations,0.013842885964379022,1.38,106567.49492857787
2038,Investment Grade Bonds - Obligations,0.009040300790395108,0.9,69595.47388545336
2038,Government ZC Bonds - Obligations,0.9618706681954029,96.19,7404824.963423705
2039,Emerging Markets - Equities,0.17043107556829218,17.04,1213691.0765100792
2039,Developed Markets - Equities,0.21839867330488835,21.84,1555282.8029039185
2039,Emerging Markets State - Obligations,0.01185650616295587,1.19,84433.75529130035
2039,High Yield Bonds - Obligations,0.006408437799746729,0.64,45636.41780695024
2039,Investment Grade Bonds - Obligations,0.02206454330922881,2.21,157128.26567799572
2039,Government ZC Bonds - Obligations,0.570840763854888,57.08,4065129.1960030985
2040,Emerging Markets - Equities,0.0032947103560107245,0.33,25656.807011021774
2040,Developed Markets - Equities,0.011920546400930631,1.19,92828.54194349455
2040,Emerging Markets State - Obligations,0.012392792620663295,1.24,96506.05189494173
2040,High Yield Bonds - Obligations,0.00489493342636171,0.49,38118.17995558974
2040,Investment Grade Bonds - Obligations,0.0036938709394399366,0.37,28765.1792042759
2040,Government ZC Bonds - Obligations,0.9638031462565937,96.38,7505397.636853916
2041,Emerging Markets - Equities,0.007682076052115513,0.77,58583.614931342534
2041,Developed Markets - Equities,0.01903591771685122,1.9,145168.1636348325
2041,Emerging Markets State - Obligations,0.006593384797368084,0.66,50281.24083161206
2041,High Yield Bonds - Obligations,0.010332991086947635,1.03,78799.5285154764
2041,Investment Grade Bonds - Obligations,0.013342850272012001,1.33,101752.75499997826
2041,Government ZC Bonds - Obligations,0.9430127800747056,94.3,7191428.09944166
2042,Emerging Markets - Equities,0.014898719070547515,1.49,114447.04605824257
2042,Developed Markets - Equities,0.007760373651713264,0.78,59612.630894057205
2042,Emerging Markets State - Obligations,0.01586219570064656,1.59,121848.15576028178
2042,High Yield Bonds - Obligations,0.0011250610588838135,0.11,8642.347990771206
2042,Investment Grade Bonds - Obligations,0.020982138736009154,2.1,161177.86951682068
2042,Government ZC Bonds - Obligations,0.9393715117821998,93.94,7215942.1333922455
2043,Emerging Markets - Equities,0.16338340804946355,16.34,1198221.0715436363
2043,Developed Markets - Equities,0.1892094249767901,18.92,1387623.8881809092
2043,Emerging Markets State - Obligations,0.005150484781756984,0.52,37772.620046569704
2043,High Yield Bonds - Obligations,0.002700395428321249,0.27,19804.15724181148
2043,Investment Grade Bonds - Obligations,0.030075880904552287,3.01,220570.46474487317
2043,Government ZC Bonds - Obligations,0.6094804058591158,60.95,4469806.779720665
2044,Emerging Markets - Equities,0.002155896783414495,0.22,16239.530420620444
2044,Developed Markets - Equities,0.01665866954858781,1.67,125483.26663064695
2044,Emerging Markets State - Obligations,0.018093585930890554,1.81,136291.9326209296
2044,High Yield Bonds - Obligations,0.0017474664395476993,0.17,13162.983785848603
2044,Investment Grade Bonds - Obligations,0.007912195670059668,0.79,59599.48698208695
2044,Government ZC Bonds - Obligations,0.9534321856274999,95.34,7181833.1478625275
2045,Emerging Markets - Equities,0.16597585794897185,16.6,1148614.9454830925
2045,Developed Markets - Equities,0.23203685384193215,23.2,1605781.7174089213
2045,Emerging Markets State - Obligations,0.004716382736383716,0.47,32639.130573401195
2045,High Yield Bonds - Obligations,0.002837784336039631,0.28,19638.52779983853
