Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed
2041,NORMAL,High Yield Bonds - Obligations,2681.16402845121,0.025688168100771316,-0.9979608811906218,0.02,-1.0179608811906218,-2729.320097018791,0.0,-2729.320097018791,-48.15606856758086,1117712.6247972348,,,,,,,,
2041,NORMAL,Investment Grade Bonds - Obligations,231.54932365740657,0.002218468503460904,-0.9978436812763536,0.02,-1.0178436812763536,-235.68101598850458,0.0,-235.68101598850458,-4.131692331098009,1117712.6247972348,,,,,,,,
2041,NORMAL,Government ZC Bonds - Obligations,626.5109153918938,0.006002586018898601,-0.998005688873316,0.02,-1.018005688873316,-637.7916760101766,0.0,-637.7916760101766,-11.280760618282784,1117712.6247972348,,,,,,,,
2042,ASK,Emerging Markets - Equities,28.05,0.00026526660017125504,-0.9931947106444824,0.02,-1.0131947106444823,-28.42011163357773,-4.831418977708214,-23.588692655869515,4.461307344130486,1259103.271834085,,,,,,,,
2042,ASK,Developed Markets - Equities,103876.98,0.9823562681161303,-0.9979675597612707,0.02,-1.0179675597612707,-105743.39584597031,-17976.377293814956,-87767.01855215535,16109.961447844638,1259103.271834085,,,,,,,,
2042,NORMAL,Emerging Markets State - Obligations,399.4135395771705,0.0037772218077006432,-0.9976644618992891,0.02,-1.0176644618992892,-406.4689648290917,0.0,-406.4689648290917,-7.055425251921179,1259103.271834085,,,,,,,,
2042,NORMAL,High Yield Bonds - Obligations,540.2361303299621,0.005108969753379824,-0.9978897762102935,0.02,-1.0178897762102934,-549.90083380228,0.0,-549.90083380228,-9.66470347231791,1259103.271834085,,,,,,,,
2042,NORMAL,Investment Grade Bonds - Obligations,296.3246705523281,0.0028023186418639316,-0.9979667946276978,0.02,-1.0179667946276978,-301.648675051262,0.0,-301.648675051262,-5.324004498933903,1259103.271834085,,,,,,,,
2042,NORMAL,Government ZC Bonds - Obligations,601.6754145927359,0.005689996136743151,-0.998163591777116,0.02,-1.018163591777116,-612.6040012057254,0.0,-612.6040012057254,-10.92858661298942,1259103.271834085,,,,,,,,
2043,ASK,Emerging Markets - Equities,104628.06,0.9774955674634836,-0.9937480697042079,0.02,-1.0137480697042078,-106066.49386189604,-18031.30395652233,-88035.18990537371,16592.870094626283,1418379.8357210967,,,,,,,,
2043,ASK,Developed Markets - Equities,556.12,0.005195593180049334,-0.9979422815947045,0.02,-1.0179422815947046,-566.0980616404471,-96.23667047887601,-469.8613911615711,86.25860883842891,1418379.8357210967,,,,,,,,
2043,NORMAL,Emerging Markets State - Obligations,461.1846290183743,0.004308652293158757,-0.9974166802445724,0.02,-1.0174166802445723,-469.21693423569906,0.0,-469.21693423569906,-8.032305217324733,1418379.8357210967,,,,,,,,
2043,NORMAL,High Yield Bonds - Obligations,430.8958835228763,0.004025677396502173,-0.9976257304549778,0.02,-1.0176257304549778,-438.4907382200101,0.0,-438.4907382200101,-7.594854697133769,1418379.8357210967,,,,,,,,
2043,NORMAL,Investment Grade Bonds - Obligations,548.4300991319658,0.005123749699316373,-0.9977721081584489,0.02,-1.0177721081584488,-558.1768581710878,0.0,-558.1768581710878,-9.746759039122026,1418379.8357210967,,,,,,,,
2043,NORMAL,Government ZC Bonds - Obligations,412.17602039390243,0.003850785658739903,-0.9980661370374715,0.02,-1.0180661370374715,-419.6224488618983,0.0,-419.6224488618983,-7.446428467995872,1418379.8357210967,,,,,,,,
2044,ASK,Emerging Markets - Equities,114282.29,0.9717318452256671,-0.9915598088520006,0.02,-1.0115598088520006,-115603.3714275689,-19652.573142686713,-95950.79828488218,18331.49171511781,1597804.8849398156,,,,,,,,
2044,ASK,Developed Markets - Equities,1652.02,0.01404697475829113,-0.9973084045111864,0.02,-1.0173084045111864,-1680.6138304205701,-285.70435117149697,-1394.9094792490732,257.1105207509268,1597804.8849398156,,,,,,,,
2044,NORMAL,Emerging Markets State - Obligations,371.83720261932655,0.003161697678833951,-0.9972242583461404,0.02,-1.0172242583461404,-378.24182265994796,0.0,-378.24182265994796,-6.40462004062141,1597804.8849398156,,,,,,,,
2044,NORMAL,High Yield Bonds - Obligations,213.97768686974453,0.001819432674118246,-0.9971788308744871,0.02,-1.0171788308744871,-217.65357336339383,0.0,-217.65357336339383,-3.675886493649301,1597804.8849398156,,,,,,,,
2044,NORMAL,Investment Grade Bonds - Obligations,312.21395179628047,0.002654726637733608,-0.9976501867159779,0.02,-1.017650186715978,-317.7245863408182,0.0,-317.7245863408182,-5.510634544537709,1597804.8849398156,,,,,,,,
2044,NORMAL,Government ZC Bonds - Obligations,774.4710696017205,0.006585256574207395,-0.9980904975884467,0.02,-1.0180904975884466,-788.481636618672,0.0,-788.481636618672,-14.01056701695154,1597804.8849398156,,,,,,,,
2045,ASK,Emerging Markets - Equities,116693.7,0.9681785185953002,-0.9931766793973247,0.02,-1.0131766793973247,-118231.33547258758,-20099.32703033989,-98132.0084422477,18561.691557752303,1799927.2028847022,,,,,,,,
2045,ASK,Developed Markets - Equities,1137.17,0.00943481581260186,-0.9973275480601016,0.02,-1.0173275480601016,-1156.874367827506,-196.668642530676,-960.2057252968299,176.96427470317016,1799927.2028847022,,,,,,,,
2045,NORMAL,Emerging Markets State - Obligations,687.3895282820341,0.0057030994405869555,-0.9972182655045209,0.02,-1.0172182655045208,-699.2251836850214,0.0,-699.2251836850214,-11.8356554029873,1799927.2028847022,,,,,,,,
2045,NORMAL,High Yield Bonds - Obligations,861.0103726716932,0.007143588275189383,-0.9971971434870474,0.02,-1.0171971434870473,-875.8172915943643,0.0,-875.8172915943643,-14.806918922671116,1799927.2028847022,,,,,,,,
2045,NORMAL,Investment Grade Bonds - Obligations,733.214459284598,0.006083297461669449,-0.997709465865232,0.02,-1.017709465865232,-746.199295723193,0.0,-746.199295723193,-12.984836438595039,1799927.2028847022,,,,,,,,
2045,NORMAL,Government ZC Bonds - Obligations,416.6283909421968,0.003456661827906388,-0.9981444902090424,0.02,-1.0181444902090424,-424.1879007024566,0.0,-424.1879007024566,-7.5595097602598,1799927.2028847022,,,,,,,,
2046,ASK,Emerging Markets - Equities,119076.92,0.9785968357378221,-0.992711539598424,0.02,-1.0127115395984239,-120590.57098383835,-20500.39706725252,-100090.17391658583,18986.74608341417,2027617.9940496176,,,,,,,,
2046,ASK,Developed Markets - Equities,869.05,0.007142018622063404,-0.9969728200857808,0.02,-1.0169728200857808,-883.8002292955478,-150.24603898024313,-733.5541903153046,135.49580968469533,2027617.9940496176,,,,,,,,
2046,NORMAL,Emerging Markets State - Obligations,607.6278636683641,0.004993601654224797,-0.997305323222272,0.02,-1.017305323222272,-618.1430602480037,0.0,-618.1430602480037,-10.515196579639678,2027617.9940496176,,,,,,,,
2046,NORMAL,High Yield Bonds - Obligations,284.29955124988453,0.0023364279262078646,-0.9972856079158517,0.02,-1.0172856079158517,-289.21384182344264,0.0,-289.21384182344264,-4.914290573558105,2027617.9940496176,,,,,,,,
2046,NORMAL,Investment Grade Bonds - Obligations,672.722815183831,0.0055285643789538454,-0.9977335530526578,0.02,-1.0177335530526577,-684.6525809166267,0.0,-684.6525809166267,-11.929765732795659,2027617.9940496176,,,,,,,,
2046,NORMAL,Government ZC Bonds - Obligations,170.66465663437674,0.0014025546928378982,-0.9981231985011579,0.02,-1.0181231985011578,-173.7576460836935,0.0,-173.7576460836935,-3.0929894493167467,2027617.9940496176,,,,,,,,
2047,ASK,Emerging Markets - Equities,117746.48,0.9564214288160908,-0.9940393859915276,0.02,-1.0140393859915275,-119399.56828186367,-20297.926607916826,-99101.64167394684,18644.838326053152,2284111.670296894,,,,,,,,
2047,ASK,Developed Markets - Equities,1193.93,0.009697956461258081,-0.9971719482095796,0.02,-1.0171719482095796,-1214.4321041258634,-206.4534577013968,-1007.9786464244665,185.9513535755335,2284111.670296894,,,,,,,,
2047,NORMAL,Emerging Markets State - Obligations,1608.5935216209152,0.013066151228749963,-0.9974717877224989,0.02,-1.0174717877224988,-1636.6985261624627,0.0,-1636.6985261624627,-28.105004541547487,2284111.670296894,,,,,,,,
2047,NORMAL,High Yield Bonds - Obligations,671.949546266895,0.00545805653920956,-0.9975714917849926,0.02,-1.0175714917849925,-683.7567021990532,0.0,-683.7567021990532,-11.807155932158139,2284111.670296894,,,,,,,,
2047,NORMAL,Investment Grade Bonds - Obligations,1424.8299673956635,0.011573491736114274,-0.9979373206398763,0.02,-1.0179373206398763,-1450.387599378144,0.0,-1450.387599378144,-25.557631982480416,2284111.670296894,,,,,,,,
2047,NORMAL,Government ZC Bonds - Obligations,465.72291261227497,0.0037829357914820334,-0.9980977724053448,0.02,-1.0180977724053448,-474.1514598886862,0.0,-474.1514598886862,-8.428547276411223,2284111.670296894,,,,,,,,
2048,ASK,Emerging Markets - Equities,128960.79,0.9608252744634742,-0.9948531522041447,0.02,-1.0148531522041446,-130876.26424223672,-22248.964921180243,-108627.29932105647,20333.490678943515,2573051.7965894514,,,,,,,,
2048,ASK,Developed Markets - Equities,965.57,0.007194001062367073,-0.9972330615754376,0.02,-1.0172330615754375,-982.2097272653953,-166.9756536351172,-815.2340736302781,150.335926369722,2573051.7965894514,,,,,,,,
2048,NORMAL,Emerging Markets State - Obligations,1681.0145612044364,0.01252443690168422,-0.9978239000261004,0.02,-1.0178239000261005,-1710.9767966857635,0.0,-1710.9767966857635,-29.96223548132707,2573051.7965894514,,,,,,,,
2048,NORMAL,High Yield Bonds - Obligations,1196.1022884399815,0.00891158707679082,-0.9978315531705401,0.02,-1.01783155317054,-1217.4306499937036,0.0,-1217.4306499937036,-21.32836155372206,2573051.7965894514,,,,,,,,
2048,NORMAL,Investment Grade Bonds - Obligations,302.679816295411,0.002255122797918594,-0.9980827007970573,0.02,-1.0180827007970572,-308.1530848507892,0.0,-308.1530848507892,-5.4732685553781835,2573051.7965894514,,,,,,,,
