Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,ASK_Cap,ASK_Return,ASK_Return_MAX,ASK_Cap_Full,Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed,Path_ID
2058,ASK,Emerging Markets - Equities,58382.31,0.03299826259346189,0.2783496169859749,0.02,0.25834961698597486,15083.047427256446,2564.118062633596,12518.92936462285,70901.23936462284,166200.0,39779.867755256215,66509.02497730029,232709.0249773003,,,,,,,,,1
2058,NORMAL,Emerging Markets - Equities,375083.09,0.2120006950425069,0.2783496169859749,0.02,0.25834961698597486,96902.57263941597,37537.58186259801,59364.99077681796,434448.080776818,166200.0,0.0,66509.02497730029,232709.0249773003,,,,,,,,,1
2058,ASK,Developed Markets - Equities,174326.71,0.09853119127410818,0.2084077551001822,0.02,0.1884077551001822,32844.50408510046,5583.565694467078,27260.938390633382,201587.64839063337,166200.0,39779.867755256215,66509.02497730029,232709.0249773003,,,,,,,,,1
2058,NORMAL,Developed Markets - Equities,1119979.67,0.6330236547680075,0.2084077551001822,0.02,0.1884077551001822,211012.85538254282,81740.99115466472,129271.8642278781,1249251.534227878,166200.0,12518.929364622847,66509.02497730029,232709.0249773003,,,,,,,,,1
2058,NORMAL,Emerging Markets State - Obligations,17985.676692841582,0.010165683448145401,0.0579183651592996,0.02,0.0379183651592996,681.9874564762722,264.18452348013284,417.80293299613936,18403.47962583772,166200.0,39779.867755256215,66509.02497730029,232709.0249773003,,,,,,,,,1
2058,NORMAL,High Yield Bonds - Obligations,13820.039649794726,0.0078112239377986495,0.1251320485838734,0.02,0.10513204858387339,1452.9290798932761,562.827619448141,890.1014604451351,14710.141110239862,166200.0,39779.867755256215,66509.02497730029,232709.0249773003,,,,,,,,,1
2058,NORMAL,Investment Grade Bonds - Obligations,3205.22446608389,0.0018116247644676083,0.03466720896300357,0.02,0.01466720896300357,47.011697017383995,18.211130800998948,28.800566216385047,3234.025032300275,166200.0,39779.867755256215,66509.02497730029,232709.0249773003,,,,,,,,,1
2058,NORMAL,Government ZC Bonds - Obligations,6471.326036144388,0.0036576578739107683,0.05744917854128206,0.02,0.03744917854128206,242.34584412641834,93.87859078630416,148.46725334011418,6619.793289484503,166200.0,39779.867755256215,66509.02497730029,232709.0249773003,,,,,,,,,1
2059,ASK,Emerging Markets - Equities,59053.75,0.028186074225979536,0.3990096011610302,0.02,0.37900960116103016,22381.93823456319,3804.9294998757423,18577.008734687446,77630.75873468745,166200.0,27131.102962724835,66509.02497730029,232709.0249773003,,,,,,,,,1
2059,NORMAL,Emerging Markets - Equities,460905.7,0.2199881001863058,0.3990096011610302,0.02,0.37900960116103016,174687.68552984548,66463.09747258523,108224.58805726025,569130.2880572602,166200.0,0.0,66509.02497730029,232709.0249773003,,,,,,,,,1
2059,ASK,Developed Markets - Equities,173655.28,0.08288483985882793,0.07934825375964039,0.02,0.05934825375964038,10306.137624141411,1752.04339610404,8554.094228037371,182209.37422803737,166200.0,27131.102962724835,66509.02497730029,232709.0249773003,,,,,,,,,1
2059,NORMAL,Developed Markets - Equities,1355353.58,0.6469038225062269,0.07934825375964039,0.02,0.05934825375964038,80437.86819987698,30604.04549089979,49833.82270897718,1405187.4027089772,166200.0,18577.00873468745,66509.02497730029,232709.0249773003,,,,,,,,,1
2059,NORMAL,Emerging Markets State - Obligations,2879.3994913886518,0.0013743236930851685,0.1335243253667182,0.02,0.1135243253667182,326.88188472116826,124.36814020604533,202.51374451512294,3081.913235903775,166200.0,27131.102962724835,66509.02497730029,232709.0249773003,,,,,,,,,1
2059,NORMAL,High Yield Bonds - Obligations,18705.128825847438,0.008927869093695919,0.08264670431602972,0.02,0.06264670431602971,1171.814674746107,445.8381408582462,725.9765338878607,19431.1053597353,166200.0,27131.102962724835,66509.02497730029,232709.0249773003,,,,,,,,,1
2059,NORMAL,Investment Grade Bonds - Obligations,10711.937369262381,0.00511275679857881,0.02130739997471154,0.02,0.001307399974711538,14.004786645684362,5.328375020206286,8.676411625478076,10720.61378088786,166200.0,27131.102962724835,66509.02497730029,232709.0249773003,,,,,,,,,1
